comment_id,text,author,likes,replies,time,time_parsed
Ugx9tIvCK4vq5Zj-fyV4AaABAg,"Pemerintah masi memandang  pasar saham tempatnya orang kaya .... pandangan sesat sekali
1. Pasar saham = etalase ekonomi negara jika buram apalagi retak investor kabur  apalagi asing.
2. Retakan sekarang mulai merembet ke industri besar (penebangan,),  UKM (nelayan, RM dll).
3. Pasar modal sudah menjadi  tempat usaha investor  retail  nyambi  dagang, kerja, ngojek nunggu  lamaan kerja
tolong Pemerintah jangan pakai narasi  basi (fundamental ekonomi kuat  dll)  tapi  selesaikan  MBG, Kopdes MP, subsidi tidak tepat sasaran, 
4. Menkeu dan Presiden  tolong irit  biciara  selesaikan saja masalah  no.3  inshaAllah pasar bereaksi positif
tks  bro Leo  ...  teruslah bersuara",@BAMBANGMANTO,0,,3 minggu yang lalu,1779546141.022063
UgyYpkqEyyTQ5V_lbN54AaABAg,"Leon, coba pelajari bagaimana pak Habibie bisa menurunkan USD. Yang dia kerjakan waktu itu adalah:
1. Membuka kebebasan pers utk transparansi
2. Memperbaiki sistem perbankan yang amburadul dan korup dengan mendirikan BPPN dan pembentukan Bank Mandiri (dimana Bank Mandiri mengadopsi sistemnya Deutsh Bank)
3. Merestukturisasi hutang luar negeri perusahaan2 di Indonesia yang waktu itu marak berhutang USD, lewat  badan namanya INDRA
4. Kolaborasi dgn  IMF 
DLL

Coba bandingkan dengan keadaan kita sekarang:
1. Penyiraman air keras terhadap pengkritik dan sikap2 anti kritik pemerintah lewat pidato2 Presiden
2. Tidak ada perbaikan di area2 korupsi dan penegakan hukum yang serampangan 
3. Kesulitan merestrukturisasi hutang2 dalam USD karna yang terbesar justru hutang2 pemerintah akibat proyek2 yang bekerjasama dgn pihak luar (misal hutang proyek kreta cepat Jkt Bandung)
4. Menutup diri thd pihak asing sewaktu diperlukan (contoh waktu bencana banjir di Sumatera)",@1977gh,0,,3 minggu yang lalu,1779546141.024086
UgzWIdH1Smb8-_C9q8l4AaABAg,"GRafik kurs yang bagus jaman SBY setelahnya, naik2 kepuncak gunung...",@fixed-itdiy9709,0,,3 minggu yang lalu,1779546141.026453
Ugx9g_ggfHQYuNgHFyl4AaABAg,Ringgit menguat. IDR selalu melemah dari 2013,@zulyandi,0,,3 minggu yang lalu (diedit),1779546141.028461
UgytKR3hQ8neJ43iH7R4AaABAg,"Ini karena interen bro rakyat diperas hasil nya mereka pindah kan keluar negeri oleh penguasa juga orang"" yang punya duit...mereka bukan berpikir untuk kemakmuran rakyat, berpikir mereka yg penting mereka aman masalah rakyat sengsara itu cukup diberi BLT selesai otak mereka memang otak penjajah....",@SihanaPambudi,0,,3 minggu yang lalu,1779546141.029465
Ugwld-ZKlzmUvz0G6p14AaABAg,Hukum harus ditegakkan tanpa pandang bulu maka akan bedampak sangat baik pada semua sektor,@spplnindonesia1040,0,,3 minggu yang lalu,1779546141.031461
Ugway5_kNtYghE8yjHl4AaABAg,"Soeharto said, ""enak jamanku tooh?""",@UjiData,0,,3 minggu yang lalu,1779546141.033461
UgwJwTR5rTEum1rXRJN4AaABAg,"Sesuai ramalan Pdt Daud Tony nanti bln Juni :
- stagflasi dimana inflasi dan deflasi bertemu dlm 1 titik
- bln Juni jatuh tempo pembayaran hutang negara

Akibatnya effek ke pelemahan rupiah bakal berlanjut.",@kristiantosetiawan7499,0,,3 minggu yang lalu,1779546141.034461
UgzG6f34xO7EBPKc0Sx4AaABAg,Cara untuk melemahkan negara intoleran dan pendukung organisasi teroris adalah cukup goyangkan nilai mata uangnya seperti Iran !,@alexiusgampar8513,0,,3 minggu yang lalu,1779546141.036461
UgycI3XRTdGerRiD_J54AaABAg,Yg getol banget pengen GANTI REZIM . Sepertinya perlu di cek lg. Jgn sampai mereka ada di barisan yg lg di bersihkan atau yg selama ini menggerogoti indonesia.,@inisaya1716,0,,3 minggu yang lalu (diedit),1779546141.038469
UgzmEI0rM6nejX3PGgh4AaABAg,"presiden yg satu dunia nga dipercayai,,,sekali dibuka mulut rupiah tambah anjlok,data 5.61 persen itu oplosan,,,mentri dan ponakannya juga nga kompetan buat  kerja,,,bila sesuatu yg nga benar /org yg nga layak diberikn jabatan maka tunggulah kehancuran,,",@dabelg8932,0,,3 minggu yang lalu (diedit),1779546141.039466
UgzMk9oyIMNf_uw6kap4AaABAg,Anak nya malu 😅😅 gak sigh bapak nya kayak gitu ...,@DefiPeter,0,,3 minggu yang lalu,1779546141.041461
UgxmxFo3Q3K2Qg9w7VV4AaABAg,Inti nya suku bunga BI mesti stay di 6.25-7.25% kalau mau rupiah stabil di 3% loss per year,@mintico,0,,3 minggu yang lalu,1779546141.043461
Ugy_9pFtIwo0xCOsFpJ4AaABAg,are we cooked ?,@Lucia-qc5wq,0,,3 minggu yang lalu,1779546141.044461
UgwaySdptBlpF3SF9NB4AaABAg,Pemimpinnya harus ganti,@RekaRizky-g1u,0,,3 minggu yang lalu,1779546141.046461
UgxRDXhSubRlHr5AjxN4AaABAg,Korupsi,@chandralaurencius2664,0,,3 minggu yang lalu,1779546141.048461
UgzOI2uhRzBDo4Psq2x4AaABAg,Makin teriak isteris menunjukkan ketidak mampuan memimpin,@anomharta8205,0,,3 minggu yang lalu,1779546141.049461
UgzbFhPmDQ-c7eDsLeh4AaABAg,Kalau sampai dua puluh ribu per dolar  Prabowo mundur,@anomharta8205,0,,3 minggu yang lalu,1779546141.051461
UgxzuPm41_-S_0RwWhd4AaABAg,"Bila kita lihat grafik USDIDR setelah krisis 98, maka pada dasarnya rupiah bisa dibilang stabil hingga masa SBY berakhir, ada lonjakan2 tapi kemudian rupiah kembali ke harga awal, coba lihat grafiknya ujung2nya horizontal. Grafik mulai menukik tajam tanpa pernah turun lagi sejak 2014, yaitu sejak jokowi berkuasa hingga sekarang. Di masa jokowi proyek ugal2an bernilai triliunan yg tdk produktif dimulai, mulai jalan tol, kereta cepat, mandalika hingga IKN, semua adalah proyek besar.. tol saya blg juga tdk produktif krn tarif tol sangat mahal, lah kalo tarif tolnya mahal sama saja dgn jalan biasa artinya itu hanya menguntungkan para pengusaha tol (sebagian saham tol transjawa di kuasai swasta). Semua proyek jokowi hanya menguntungkan oligarki dan ego wong solo. Ini akibatnya bila orang bodoh diberikan kekuasaan tertinggi, dia jadi gila krn itu semua aturan ditrabas... org melihat dia sebagai sosok yg pintar namun pada dasarnya dia org yg gila.",@GamesBenchmark,0,,3 minggu yang lalu,1779546141.409248
UgwrO8etBs6FIQRxMQ14AaABAg,"KALO MENURUT AKU PRIBADI 
PENGUSAHA SITUS JUDI ONLINE = DAPAT KEUNTUNGAN RUPIAH DARI 2 JUTA BAHKAN LEBIH USER/PLAYERS YG BERASAL DARI PENDUDUK INDONESIA = PENGUSAHA SITUS JUDI ONLINE MENUKAR RUPIAH MENJADI DOLLAR BUAT JADI ASET 😅😅😅😅😅😅

JANGAN TERLALU JAUH ANALISIS   KEMUNGKINAN TERJADINYA PAK NANTI TERSESAT BAHKAN BI TIDK AKAN BISA MEMPREDIKSI TERKAIT HAL INI 😅😅😅",@abdhafidrahman-p7z,0,,3 minggu yang lalu,1779546141.409248
UgyxwxbbACLcExB5PwV4AaABAg,"Coba bandinginnya dengan SGD. Pasti korelasi nya sama, karena banyak pengkhianat bangsa yg massif menggadai rupiah dengan SGD.",@feelosocial,0,,3 minggu yang lalu,1779546141.409248
UgwukO0OG31f0iIJ2Kp4AaABAg,Bowo suruh mundur,@Zilong-p7o,0,,3 minggu yang lalu,1779546141.409248
UgwxfX5cscaiWEYcldJ4AaABAg,siluman babi sialan.,@redwoods305,0,,3 minggu yang lalu,1779546141.422243
UgySjX-MihLU8dCedY54AaABAg,"Indonesia kalau di pimpin staff nya oleh Indo Chinese aku yakin maju, mindset mereka beda. Sorry to said tapi itu reality.",@Bayareasky,1,1,3 minggu yang lalu,1779546141.423251
UgzJCz4thYOBizvl7jh4AaABAg,"Ujungnya Nawarin Investasi di aplikasi Makmur,,, Hadehhhh 🙆‍♀",@hanggoroboedirahardjo,0,,3 minggu yang lalu,1779546141.425741
Ugyhi3utyvd5vYErxR54AaABAg,Thank you ko Leon. Earth bless u,@enricoleonardo630,0,,3 minggu yang lalu,1779546141.427495
UgywxshTOYrzMXHVgG14AaABAg,"Banyak penghianat bangsa depan presiden iya iya aja padahal dalem atinya dongkol. 
Karena kepentingan nya terganggu. 
Pemerintah lagi banyak musuh nya karena
1. Mafia pangan yg terganggu. Sekarang
2. Masuk ke cpo dan mineral. Belum lagi dari dalem 
3.bea cukai, pajak
4. Oligarki lokal dan global yg terganggu. 

Nah orang orang cerdas pinter S1S2S3 jangan cuma kritik tanpa solusi cuma bikin noise doang. Gimana lah caranya agar kalian bisa duduk bareng atasi masalah bangsa. 


2",@dennyirawan8725,0,,3 minggu yang lalu,1779546141.427495
UgzXMZ_v5SxICyS_06V4AaABAg,"SGD SGD UP TERUS 
JD INGET KATA2 BENNIX",@noobplayer1994,1,1,3 minggu yang lalu,1779546141.427495
UgzlSBwy6kHFyUMd6F14AaABAg,Para pejabatnya penjahat semua,@ahmadalisudibyo3601,1,,3 minggu yang lalu,1779546141.427495
UgzshNf1sinu-1n536p4AaABAg,dari penjelasan video ini nilai dolar US sebelumnya stabil tetapi setalah 2014 nilai dollar US naik tidak terbendung. Artinya silakan ditebak sendiri,@arifmarzuki3601,0,,3 minggu yang lalu,1779546141.427495
